x,y,z
3.875,-3.1875,-61.0
3.6875,-3.1875,-60.875
3.75,-3.1875,-60.875
3.875,-3.3125,-60.75
4.0625,-3.125,-60.6875
4.0625,-3.25,-60.75
4.1875,-3.3125,-60.875
4.25,-3.4375,-60.875
4.375,-3.375,-60.875
4.5,-3.375,-60.6875
4.375,-3.4375,-60.5625
4.5,-3.4375,-60.4375
4.6875,-3.4375,-60.4375
4.8125,-3.375,-60.25
4.9375,-3.5625,-60.0625
5.3125,-3.3125,-59.9375
5.625,-3.375,-59.6875
6.0625,-3.4375,-59.875
6.5625,-3.1875,-59.6875
7.0625,-3.0,-59.4375
7.6875,-3.0,-59.375
8.4375,-2.75,-59.375
9.375,-2.3125,-59.375
10.1875,-2.3125,-59.1875
11.375,-1.9375,-58.9375
13.0625,-1.4375,-58.625
14.8125,-1.0625,-58.375
16.6875,-0.75,-58.0
18.9375,-0.3125,-57.5
20.9375,0.25,-56.8125
22.625,0.8125,-56.125
24.125,1.6875,-55.6875
25.125,2.4375,-55.25
25.1875,3.25,-54.6875
25.0625,4.625,-54.375
24.1875,5.3125,-54.1875
23.25,5.9375,-54.125
22.3125,6.75,-54.3125
20.875,8.125,-54.125
20.4375,8.5625,-54.0
19.875,9.1875,-53.75
19.5,9.5625,-53.5
19.125,9.875,-53.625
18.625,9.8125,-53.75
18.1875,9.625,-53.75
17.5,9.0625,-53.8125
17.0,8.625,-54.0
16.3125,8.0,-54.25
15.5,7.0,-54.625
14.5,6.1875,-54.875
13.5625,5.125,-54.9375
12.6875,4.3125,-54.875
11.9375,3.4375,-54.9375
11.0625,2.25,-55.25
10.125,1.0625,-55.125
9.375,-0.3125,-55.3125
8.625,-1.25,-55.25
7.8125,-2.5,-55.375
7.25,-3.625,-55.625
6.625,-4.75,-55.875
5.9375,-6.0625,-55.75
5.4375,-7.4375,-55.625
4.8125,-8.6875,-55.5625
4.25,-9.625,-55.5
3.5625,-10.875,-55.5
3.0625,-12.1875,-55.25
2.5625,-13.375,-54.6875
2.0625,-14.4375,-54.125
1.1875,-15.6875,-53.9375
0.6875,-16.625,-53.5625
0.0625,-17.625,-53.0625
-0.5625,-18.75,-52.4375
-1.1875,-19.6875,-52.0
-2.0,-20.5625,-51.4375
-2.75,-21.5625,-50.9375
-3.5625,-22.875,-50.5625
-3.875,-23.875,-50.0
-4.5625,-24.8125,-49.375
-5.0625,-26.0,-48.875
-5.5,-27.125,-48.375
-6.0,-28.125,-47.75
-6.25,-29.0,-47.25
-6.875,-30.625,-46.25
-7.1875,-31.4375,-45.5
-7.5625,-32.0,-45.0
-8.125,-32.75,-44.25
-8.25,-33.25,-43.5
-8.3125,-34.0625,-42.9375
-8.6875,-34.9375,-42.375
-9.0,-35.75,-41.625
-9.25,-36.25,-41.25
-9.4375,-36.6875,-41.0
-9.625,-37.375,-40.5
-9.875,-37.6875,-40.25
-10.25,-37.9375,-40.125
-10.5,-38.1875,-39.9375
-10.4375,-38.1875,-39.75
-10.625,-38.375,-39.375
-10.375,-38.875,-38.6875
-10.1875,-39.3125,-38.5
-9.9375,-39.5625,-38.125
-9.75,-39.8125,-37.9375
-9.5,-40.1875,-37.5625
-9.3125,-40.375,-37.3125
-9.0625,-40.875,-37.0625
-8.6875,-40.875,-36.8125
-8.75,-41.0625,-36.625
-8.4375,-41.25,-36.5625
-8.375,-41.5,-36.625
-8.25,-41.5625,-36.3125
-8.1875,-41.6875,-36.0
-8.0625,-41.75,-35.75
-8.0625,-41.6875,-35.875
-8.25,-41.8125,-35.75
-8.25,-41.8125,-35.5
-8.3125,-41.625,-35.625
-8.375,-41.5625,-35.4375
-8.4375,-41.75,-35.75
-8.3125,-41.625,-35.8125
-8.3125,-41.75,-36.0
-8.25,-41.75,-35.9375
-8.0625,-41.8125,-36.0625
-7.75,-42.0625,-36.4375
-7.5625,-42.0625,-36.3125
-7.375,-42.4375,-36.3125
-7.3125,-42.375,-36.0
-7.375,-42.5,-35.875
-7.1875,-42.5625,-35.625
-7.0625,-42.8125,-35.5
-7.125,-42.9375,-35.5
-7.125,-42.9375,-35.3125
-7.1875,-43.25,-35.0
-7.125,-43.375,-34.75
-6.875,-43.5,-34.875
-7.0,-43.5,-35.0
-7.0,-43.5,-35.0625
-6.9375,-43.375,-35.3125
-6.875,-43.375,-35.3125
-7.0625,-43.3125,-35.1875
-7.0625,-43.25,-35.4375
-7.25,-43.1875,-35.5625
-7.375,-43.0625,-35.375
-7.3125,-43.0625,-35.4375
-7.4375,-43.3125,-35.5
-7.5625,-43.125,-35.125
-7.625,-43.1875,-34.9375
-7.625,-43.125,-35.0
-7.875,-43.0625,-34.6875
-7.875,-42.875,-34.8125
-7.8125,-42.8125,-34.875
-7.6875,-42.75,-34.75
-7.6875,-42.4375,-34.4375
-7.75,-42.5625,-34.6875
-7.625,-42.375,-34.625
-7.8125,-42.5,-34.6875
-7.5625,-42.5,-34.9375
-7.5625,-42.375,-34.875
-7.5,-42.25,-35.0625
-7.625,-42.1875,-35.3125
-7.6875,-42.25,-35.6875
-7.5625,-42.0625,-35.5625
-7.6875,-41.9375,-36.0
