x,y,z
-16.625,-7.75,-46.4375
-16.625,-7.9375,-46.5
-16.6875,-8.0,-46.75
-16.8125,-8.0625,-46.625
-17.0,-8.125,-46.5625
-16.8125,-8.125,-46.3125
-16.9375,-8.125,-46.3125
-17.0625,-8.125,-46.3125
-16.8125,-8.125,-46.375
-17.0,-8.0,-46.3125
-16.8125,-8.0625,-46.125
-16.75,-8.0,-46.3125
-16.8125,-8.0,-46.125
-16.9375,-8.0,-46.125
-16.625,-8.0,-46.0
-16.5625,-7.6875,-46.125
-16.5625,-7.3125,-46.1875
-16.1875,-7.0,-46.375
-15.8125,-6.5625,-46.75
-15.375,-6.25,-46.9375
-14.625,-5.625,-47.375
-13.625,-4.875,-47.6875
-12.6875,-4.0,-48.1875
-11.8125,-3.3125,-48.3125
-10.8125,-2.625,-48.625
-10.0,-1.875,-48.875
-9.1875,-1.0625,-49.0625
-8.3125,-0.3125,-49.25
-7.625,0.0,-49.5
-6.875,0.3125,-49.625
-6.125,0.3125,-49.5625
-5.0625,0.0625,-49.875
-4.0625,-0.0625,-49.8125
-3.0,-0.125,-49.9375
-2.125,-0.375,-49.875
-0.9375,-0.75,-49.9375
0.375,-0.875,-49.9375
1.6875,-1.0625,-50.25
2.75,-1.3125,-50.25
4.1875,-1.3125,-50.0
5.375,-1.625,-49.75
6.8125,-2.0,-49.625
8.5,-2.25,-49.5
10.0,-2.4375,-49.25
11.375,-2.625,-48.8125
12.8125,-3.0,-48.0625
14.5,-3.125,-47.6875
15.875,-3.25,-47.375
17.375,-3.375,-47.0625
18.6875,-3.8125,-46.625
19.8125,-4.0,-45.9375
22.25,-5.125,-44.8125
23.1875,-5.625,-44.1875
23.9375,-5.9375,-43.625
24.75,-6.25,-43.0
25.5,-6.625,-42.6875
26.4375,-6.9375,-42.0625
27.875,-7.4375,-41.25
28.375,-7.75,-40.875
29.8125,-8.3125,-40.125
30.5,-8.75,-39.625
31.125,-9.125,-39.0
31.5625,-9.0,-38.5
32.0,-9.1875,-37.875
32.9375,-9.3125,-37.4375
33.875,-9.125,-36.875
34.4375,-9.25,-36.4375
34.875,-9.125,-36.125
35.3125,-9.125,-35.875
35.25,-9.1875,-35.8125
35.125,-9.5625,-36.125
34.9375,-10.0625,-36.375
34.3125,-10.5,-36.625
33.4375,-11.0625,-37.1875
32.875,-11.125,-37.5625
32.0625,-11.25,-37.9375
31.1875,-11.125,-38.3125
31.125,-10.875,-38.5
31.0625,-10.3125,-38.4375
31.25,-9.625,-38.375
31.5625,-9.0,-38.5625
31.9375,-8.0625,-38.25
32.1875,-7.5625,-38.1875
32.875,-6.875,-38.0625
33.375,-6.375,-37.9375
33.6875,-5.625,-37.75
34.0,-5.4375,-37.875
34.125,-5.0625,-38.0625
34.0,-4.4375,-37.75
33.875,-4.0,-38.0625
33.8125,-3.6875,-38.1875
33.3125,-3.3125,-38.375
32.9375,-2.75,-38.8125
32.3125,-2.5,-39.5625
31.5625,-2.0,-40.25
30.625,-1.4375,-40.9375
