x,y,z
-7.4375,13.0625,-47.5625
-7.3125,13.0625,-47.3125
-7.0625,13.0625,-47.4375
-6.625,13.125,-47.5
-6.125,13.125,-47.75
-5.6875,13.125,-47.875
-4.9375,13.0625,-48.0625
-4.3125,12.8125,-48.375
-3.75,12.75,-48.625
-2.875,12.8125,-48.875
-2.3125,12.625,-48.625
-1.6875,12.8125,-48.8125
-1.0625,13.3125,-48.375
-0.375,13.5625,-48.25
0.25,14.1875,-47.9375
0.75,14.9375,-47.5
1.3125,15.6875,-47.0625
1.75,16.5,-46.625
2.375,17.25,-46.375
2.75,17.625,-45.75
3.1875,17.9375,-45.6875
3.375,18.5,-45.4375
3.375,19.0,-45.5
3.5625,19.1875,-45.5
3.75,19.25,-45.5
3.75,19.1875,-45.4375
3.625,19.0625,-45.625
3.375,19.1875,-45.75
3.4375,19.125,-45.9375
3.25,18.875,-45.9375
3.25,18.3125,-45.875
3.0625,18.0,-45.75
2.9375,17.5,-45.9375
2.8125,17.3125,-46.125
2.75,17.125,-45.9375
3.0,16.5625,-46.1875
3.0,16.5,-46.0625
3.3125,16.3125,-46.125
3.4375,16.25,-46.125
3.6875,16.125,-46.125
3.875,16.0,-46.1875
4.25,16.0,-46.125
4.4375,15.625,-46.25
4.5,15.875,-46.0625
4.5,15.4375,-46.125
4.4375,15.1875,-46.125
4.5,14.9375,-46.3125
4.5,14.875,-46.4375
4.375,14.5625,-46.4375
4.0,14.5625,-46.5
4.0,14.3125,-46.4375
4.0,14.375,-46.6875
3.9375,14.3125,-46.75
3.875,14.0625,-46.8125
3.625,14.125,-46.875
3.625,14.0,-47.0625
3.5625,13.9375,-47.0
3.875,14.0625,-47.125
3.625,13.9375,-47.4375
3.5625,13.9375,-47.5625
3.5,14.0,-47.6875
3.5625,13.875,-47.875
3.6875,13.9375,-48.0625
3.75,13.875,-48.0
3.625,13.8125,-48.125
3.625,13.6875,-48.25
3.9375,13.5625,-48.3125
4.1875,13.375,-48.1875
4.5,13.125,-48.1875
4.625,12.875,-48.25
4.5625,12.625,-48.25
4.8125,12.1875,-48.4375
4.9375,11.8125,-48.4375
5.0,11.5,-48.375
5.0625,11.375,-48.25
5.0,11.1875,-48.25
4.875,11.25,-48.125
4.9375,11.3125,-48.25
4.9375,11.25,-48.25
4.4375,11.25,-47.875
4.25,11.375,-47.9375
4.1875,11.3125,-48.0625
3.8125,11.0625,-48.1875
3.75,10.8125,-48.125
3.6875,10.3125,-48.25
3.5,9.9375,-48.25
3.5,9.6875,-48.25
3.75,9.6875,-48.5625
4.0,9.375,-48.8125
3.9375,9.4375,-49.0
4.0625,9.25,-49.25
4.375,9.4375,-49.75
4.25,9.5,-49.875
4.3125,9.75,-50.125
