x,y,z
-19.6875,9.25,-44.8125
-19.625,9.0625,-44.625
-19.5,8.8125,-44.6875
-19.5625,8.75,-44.5
-19.625,8.6875,-44.3125
-19.3125,8.75,-44.3125
-19.125,9.0,-44.1875
-18.9375,9.0625,-44.3125
-18.8125,9.25,-44.25
-18.6875,9.4375,-44.3125
-18.75,9.875,-44.3125
-18.9375,9.9375,-44.375
-19.125,10.0625,-44.125
-19.1875,10.1875,-44.125
-19.375,10.125,-44.1875
-19.4375,10.0,-44.0625
-19.4375,9.8125,-44.125
-19.375,9.75,-44.1875
-19.1875,9.8125,-44.125
-18.8125,9.9375,-44.0
-18.625,9.8125,-44.1875
-18.5625,9.625,-44.125
-18.6875,9.6875,-44.0
-18.75,9.625,-43.9375
-18.75,9.6875,-43.9375
-18.6875,9.875,-43.8125
-18.75,10.0,-43.875
-18.6875,10.125,-44.0625
-18.6875,10.125,-43.875
-18.5625,10.0,-44.0625
-18.25,10.0625,-44.125
-18.3125,10.25,-44.1875
-18.1875,10.375,-44.1875
-18.0625,10.25,-44.125
-17.8125,10.125,-44.125
-17.625,10.25,-43.875
-17.0625,10.5625,-44.0
-16.625,10.9375,-44.0625
-15.9375,11.0,-44.1875
-14.625,11.0,-44.5
-13.25,11.125,-44.875
-11.6875,11.0625,-45.3125
-10.0625,11.0,-45.75
-8.1875,10.625,-46.125
-6.125,10.25,-46.5625
-3.8125,10.125,-46.5625
-1.1875,10.0,-46.9375
1.125,9.9375,-47.0625
3.5625,9.625,-46.875
5.875,9.5,-46.75
8.5625,9.3125,-46.4375
11.0625,9.25,-46.0
13.5,9.3125,-45.25
15.6875,8.9375,-44.75
19.75,8.5625,-42.875
21.375,8.3125,-42.0
23.125,8.25,-40.875
24.5625,8.125,-40.0
26.0625,8.0625,-39.1875
27.5,7.9375,-38.25
29.0625,8.1875,-37.3125
30.1875,8.3125,-36.375
31.5625,8.3125,-35.3125
33.0,8.8125,-34.3125
34.4375,9.0,-33.4375
35.5,9.25,-32.125
36.5625,9.5625,-30.9375
37.4375,9.6875,-29.6875
38.375,9.5625,-28.375
39.3125,9.5,-27.0
41.125,9.0625,-24.75
41.75,8.8125,-23.5625
42.625,8.625,-22.4375
43.375,8.4375,-21.3125
44.125,8.125,-20.3125
44.4375,8.0625,-19.0625
45.0,7.75,-18.3125
45.4375,7.875,-17.3125
45.875,7.1875,-15.625
46.25,6.75,-14.75
46.4375,6.4375,-13.8125
46.75,6.25,-13.125
47.0625,5.875,-12.3125
47.3125,5.625,-11.1875
47.5,5.3125,-10.3125
48.0625,5.125,-9.25
48.25,5.1875,-8.5
48.4375,5.5,-7.8125
48.5,5.5,-7.125
48.625,5.5625,-6.4375
48.875,5.625,-6.0
49.0625,5.75,-5.75
49.0,5.9375,-5.4375
48.875,6.0625,-5.25
48.9375,5.9375,-4.8125
48.8125,5.625,-4.625
49.0625,5.5625,-4.6875
48.875,5.3125,-4.75
48.9375,5.0625,-5.0625
48.8125,4.5625,-5.3125
48.875,4.125,-5.625
48.875,3.6875,-5.8125
48.875,3.5,-6.0625
48.75,3.0,-6.4375
48.6875,2.5625,-6.8125
48.625,2.3125,-6.9375
48.625,2.0625,-7.0
48.625,1.9375,-7.0625
48.5625,1.5,-7.125
48.4375,1.3125,-7.375
48.25,1.125,-7.625
48.1875,1.25,-7.8125
48.0625,1.1875,-8.0
48.125,1.1875,-8.1875
48.0,0.8125,-8.375
47.875,0.625,-8.5
47.625,0.75,-8.75
47.5,0.75,-9.1875
47.6875,0.6875,-9.625
47.625,0.5625,-10.25
47.3125,0.625,-11.0625
47.0,0.375,-12.25
46.5,0.625,-13.625
45.8125,0.8125,-15.1875
45.4375,1.0625,-16.75
44.75,1.25,-18.125
44.0,1.5,-19.625
43.5,1.75,-20.9375
43.125,1.75,-21.875
42.75,2.25,-22.875
42.4375,2.625,-23.5
42.1875,3.1875,-24.0625
41.8125,3.5,-24.5625
41.75,3.8125,-25.25
41.4375,4.25,-25.5
41.4375,4.6875,-26.125
41.1875,5.5,-26.6875
40.8125,6.1875,-27.0
40.625,6.75,-27.4375
40.4375,7.375,-27.875
40.375,8.1875,-28.25
