x,y,z
-20.625,3.5625,-44.0625
-20.5,3.75,-44.0625
-20.4375,3.8125,-43.9375
-20.375,4.0,-43.5
-20.0,4.25,-43.625
-19.75,4.25,-43.5625
-19.375,4.625,-43.5625
-19.0625,5.0625,-43.625
-18.5625,5.8125,-43.6875
-17.9375,6.125,-43.875
-17.375,6.5,-43.875
-16.5625,6.9375,-44.1875
-15.75,7.1875,-44.1875
-14.75,7.6875,-44.3125
-13.4375,8.0,-44.375
-11.75,8.125,-44.5625
-10.0625,8.5625,-44.8125
-8.125,9.0625,-45.125
-5.9375,9.5625,-45.4375
-3.8125,10.125,-45.5
-1.4375,10.8125,-45.6875
0.875,11.5,-45.4375
3.1875,12.3125,-45.4375
5.25,13.25,-45.0
7.5,14.0625,-44.625
9.25,14.9375,-43.875
11.1875,15.6875,-43.25
12.9375,16.6875,-42.5625
14.5,17.5625,-41.625
16.4375,18.6875,-40.875
18.1875,19.5,-39.75
20.0,20.3125,-38.625
21.5625,21.25,-37.375
23.625,22.125,-35.8125
25.625,22.8125,-34.25
27.6875,23.4375,-32.6875
29.5,24.0,-31.0625
31.0,24.25,-29.25
32.625,24.5,-27.375
34.0,24.875,-25.875
35.3125,24.8125,-24.3125
36.4375,24.8125,-22.6875
37.4375,25.0625,-21.125
38.3125,25.0625,-19.4375
39.375,24.875,-17.9375
40.3125,24.9375,-16.5625
41.0625,25.0625,-15.1875
41.875,24.9375,-13.5625
42.5625,24.75,-12.25
43.25,24.5,-11.1875
43.5625,24.0,-10.0625
43.9375,23.4375,-9.125
44.25,22.9375,-8.0
44.5,22.5,-7.25
44.9375,21.8125,-6.625
45.1875,21.1875,-6.1875
45.5,20.625,-5.75
45.875,19.8125,-5.3125
46.1875,19.4375,-5.0
46.5,18.9375,-4.625
46.6875,18.3125,-4.6875
47.0,17.5625,-4.1875
47.3125,17.0,-3.8125
47.625,16.25,-3.625
47.75,15.4375,-3.4375
47.8125,14.8125,-3.5625
47.9375,13.75,-3.8125
48.0,13.0625,-4.0
48.3125,12.1875,-4.125
48.5,11.375,-4.6875
48.4375,10.375,-5.4375
48.375,9.4375,-5.875
48.25,8.75,-6.625
48.375,7.6875,-7.25
48.3125,6.6875,-8.0
48.0,5.5625,-8.8125
48.0,4.8125,-9.75
47.5625,4.0,-10.6875
47.4375,3.1875,-11.4375
47.4375,2.5625,-12.25
47.1875,1.625,-12.9375
47.125,0.9375,-13.625
47.0,0.4375,-14.0625
46.9375,0.0,-14.5
46.625,-0.625,-14.875
46.6875,-1.3125,-15.4375
46.5,-1.8125,-15.8125
46.0625,-2.1875,-16.3125
46.0625,-2.5625,-16.5625
45.75,-2.75,-16.875
45.5625,-3.0625,-17.3125
45.375,-2.9375,-17.625
45.1875,-2.625,-17.875
45.0625,-2.1875,-18.125
45.125,-1.75,-18.4375
45.0,-1.3125,-18.9375
44.5,-0.875,-19.75
44.25,-0.3125,-20.375
43.875,0.375,-21.125
43.75,0.625,-22.25
43.375,0.875,-23.375
42.5625,1.0625,-24.25
41.8125,1.125,-25.5
41.25,1.25,-26.375
40.75,1.5625,-27.25
40.125,1.5625,-28.125
39.5,2.0625,-29.0
38.6875,2.75,-29.6875
38.125,3.375,-30.4375
37.3125,3.9375,-31.5625
36.375,4.8125,-32.5
35.3125,5.4375,-33.75
32.8125,6.375,-36.4375
31.3125,6.25,-38.0
27.0,6.25,-41.3125
