x,y,z
-20.1875,3.3125,-43.875
-20.0625,3.3125,-43.625
-20.4375,3.1875,-43.4375
-20.5,3.125,-43.1875
-20.5625,3.0,-43.1875
-20.4375,3.375,-43.375
-20.125,3.5625,-43.5
-19.9375,3.6875,-43.5625
-19.6875,3.875,-43.75
-19.25,4.25,-43.8125
-19.0625,4.5,-43.9375
-18.6875,4.875,-43.875
-18.375,5.375,-44.0
-18.3125,5.5,-43.6875
-18.375,5.8125,-43.625
-18.4375,5.9375,-43.5625
-18.4375,6.125,-43.5625
-18.625,6.0,-43.5625
-18.375,6.125,-43.5
-18.25,6.25,-43.4375
-18.125,6.625,-43.375
-17.75,6.875,-43.5625
-17.625,7.0625,-43.5
-17.375,7.5,-43.4375
-17.0625,8.0,-43.375
-16.6875,8.5,-43.375
-16.5625,9.0625,-43.25
-16.375,9.4375,-43.0625
-15.875,9.875,-43.3125
-15.25,9.75,-43.5
-14.4375,9.5625,-43.625
-13.875,9.4375,-43.8125
-13.0625,9.3125,-43.875
-11.875,9.1875,-44.3125
-10.6875,9.125,-44.75
-8.125,8.9375,-45.0
-6.8125,9.0,-45.3125
-5.375,9.125,-45.5
-3.5,9.0,-45.6875
-1.125,9.0,-46.0
3.8125,8.6875,-45.8125
6.75,8.25,-45.375
10.0625,8.0625,-45.0
13.8125,8.0625,-44.0625
17.3125,8.0625,-43.25
21.0,8.5625,-41.6875
24.1875,8.9375,-39.8125
27.3125,9.5625,-37.875
32.9375,11.625,-33.875
35.25,12.5,-31.4375
37.125,13.5,-29.0
38.9375,14.4375,-26.625
40.25,15.0,-24.5625
41.4375,15.8125,-22.6875
42.5625,16.25,-20.75
43.625,16.3125,-19.0
44.4375,16.6875,-17.25
45.0,17.0,-15.8125
45.5,16.9375,-14.4375
45.8125,17.375,-13.0
46.25,17.6875,-11.6875
46.5625,17.75,-10.5
46.9375,17.8125,-9.25
47.0625,18.25,-7.875
47.1875,18.1875,-6.5625
47.0,18.3125,-5.4375
47.3125,18.375,-4.5
47.4375,18.0625,-3.5625
47.5625,17.875,-2.75
47.8125,17.4375,-1.9375
48.0,17.0625,-1.1875
48.25,16.25,-0.5
48.5,15.625,-0.1875
48.875,14.9375,0.3125
48.875,14.3125,0.8125
49.125,13.625,1.1875
49.1875,12.9375,1.6875
49.0,12.6875,1.9375
48.8125,12.5,2.25
48.6875,12.625,2.375
48.5,12.5,2.5625
48.3125,12.5,2.625
48.5,12.5625,2.9375
48.5,12.8125,3.125
48.4375,13.0,3.1875
48.75,12.9375,3.625
48.6875,12.9375,3.8125
48.75,12.75,4.0625
48.75,12.6875,4.125
48.875,12.3125,4.25
48.6875,11.6875,3.9375
48.75,10.75,3.625
48.8125,9.875,3.375
48.8125,8.9375,3.125
49.0625,7.625,2.6875
49.125,6.4375,2.125
49.25,5.25,1.6875
49.5625,4.3125,1.125
49.8125,3.6875,1.0
49.8125,3.3125,0.8125
49.8125,3.0,0.6875
49.75,2.6875,0.3125
49.5625,2.75,0.3125
49.6875,2.6875,0.3125
49.75,2.75,0.5625
49.5625,2.8125,0.5625
49.625,2.8125,0.4375
49.6875,2.875,0.3125
49.625,2.875,-0.0625
49.5,2.875,-0.25
49.5,2.9375,-0.625
49.375,2.875,-1.0
49.3125,2.75,-1.3125
49.375,2.6875,-1.625
49.4375,2.75,-2.0625
49.3125,2.75,-2.5625
49.4375,2.875,-2.9375
49.5625,2.9375,-3.3125
49.4375,2.9375,-3.875
49.25,3.125,-5.25
49.0625,3.0625,-6.3125
48.5,3.1875,-7.625
47.5625,2.5,-10.875
47.125,2.375,-13.0
46.5625,2.3125,-14.9375
45.8125,2.125,-17.0625
45.1875,1.9375,-18.875
44.375,1.875,-20.8125
43.375,2.0,-22.6875
42.8125,2.125,-24.1875
42.125,2.3125,-25.625
41.25,2.6875,-26.5
40.5,3.0,-27.875
39.75,3.3125,-29.25
