x,y,z
-20.5625,8.0,-44.125
-20.5625,8.0625,-44.125
-20.5625,7.8125,-43.875
-20.625,7.8125,-43.9375
-20.375,7.625,-43.6875
-20.125,7.75,-43.5625
-20.0625,7.9375,-43.5625
-19.875,8.0,-43.3125
-19.6875,8.0,-43.4375
-19.8125,8.0625,-43.25
-19.5625,8.375,-43.1875
-19.5,8.3125,-43.0625
-19.5625,8.375,-43.0
-19.9375,8.1875,-43.0
-19.9375,8.0625,-43.25
-20.125,8.0,-43.3125
-20.25,8.0,-43.25
-20.1875,7.875,-43.3125
-20.1875,7.625,-43.25
-20.25,7.6875,-43.5
-20.3125,7.8125,-43.625
-20.1875,8.0,-43.4375
-20.1875,7.9375,-43.25
-20.1875,8.0,-43.25
-20.125,8.0625,-43.1875
-20.0625,7.9375,-43.1875
-20.375,8.0,-43.25
-20.375,8.0,-43.0625
-20.375,7.8125,-42.875
-20.25,7.625,-42.875
-20.5,7.4375,-42.8125
-20.5625,7.375,-42.75
-20.5625,7.4375,-42.75
-20.1875,7.375,-42.875
-20.125,7.5,-43.0
-20.0,7.4375,-43.125
-20.125,7.5625,-43.25
-19.9375,7.875,-43.0625
-19.8125,7.75,-43.125
-19.875,7.875,-43.25
-20.0625,8.0,-43.125
-20.1875,7.625,-43.0
-20.25,7.75,-43.0625
-20.25,7.625,-43.0625
-20.25,7.5,-43.1875
-20.3125,7.6875,-43.0625
-20.1875,7.625,-43.0
-19.9375,7.625,-43.0
-19.75,7.875,-43.0625
-19.3125,8.5,-43.125
-18.625,9.0,-43.375
-17.6875,9.5625,-43.625
-16.3125,9.9375,-43.9375
-15.0,10.1875,-44.3125
-13.25,10.5625,-44.6875
-11.375,10.75,-45.1875
-9.1875,10.625,-45.625
-4.875,9.875,-46.125
-2.5625,9.4375,-46.375
-0.5,8.875,-46.4375
2.0,8.4375,-46.4375
4.375,8.0,-46.4375
6.625,7.6875,-46.3125
8.75,7.375,-45.875
10.8125,7.375,-45.4375
13.1875,7.4375,-45.0
15.25,7.4375,-44.3125
17.1875,7.75,-43.8125
19.0625,7.6875,-43.0625
20.8125,7.75,-42.1875
22.4375,7.9375,-41.375
24.1875,7.9375,-40.5
26.0625,7.5,-39.5
27.5,7.25,-38.25
29.1875,6.875,-37.3125
30.8125,6.1875,-36.0
32.3125,5.8125,-34.6875
33.6875,5.3125,-33.375
35.0625,4.625,-32.0
36.25,3.9375,-30.6875
37.1875,3.8125,-29.5
38.0,3.3125,-28.5
38.5625,2.8125,-27.3125
39.125,2.375,-26.0625
39.4375,1.8125,-25.375
39.75,1.3125,-24.6875
40.3125,0.875,-24.1875
40.75,0.5,-23.75
41.0,0.125,-23.125
41.3125,-0.375,-22.4375
41.625,-0.75,-22.125
41.75,-1.125,-22.0625
41.9375,-1.375,-21.9375
42.125,-1.75,-21.875
42.125,-1.8125,-21.5625
42.125,-1.8125,-21.4375
42.25,-1.6875,-21.6875
41.9375,-1.6875,-21.625
42.125,-1.4375,-21.6875
42.0,-1.125,-21.625
42.1875,-0.625,-21.3125
42.0625,-0.375,-21.5625
42.1875,0.0625,-21.6875
42.0,0.25,-22.0625
41.875,0.625,-22.125
41.75,1.125,-22.875
41.9375,1.125,-23.25
41.4375,0.9375,-23.8125
41.25,1.0,-24.0625
40.9375,0.875,-24.4375
40.875,1.0625,-24.8125
40.8125,0.875,-25.3125
40.625,0.6875,-25.6875
40.4375,0.875,-25.75
40.0,1.0,-25.875
40.125,1.0,-26.0625
39.8125,0.8125,-26.3125
39.875,0.75,-26.125
39.75,0.5625,-26.1875
39.5,1.0625,-26.125
39.5,1.625,-26.0
39.375,2.125,-26.1875
39.4375,3.0,-26.1875
39.375,4.125,-26.375
39.5625,5.4375,-26.6875
39.1875,6.875,-27.3125
38.8125,8.125,-28.0
38.0625,9.0625,-28.875
37.375,9.75,-30.0625
34.6875,11.375,-32.8125
32.5625,12.125,-34.625
29.5625,12.625,-36.75
26.3125,13.0,-39.0
22.5625,13.625,-41.0
19.125,14.0625,-42.875
15.375,14.8125,-44.375
