x,y,z
-18.6875,2.3125,-45.375
-18.5625,2.3125,-45.375
-18.6875,2.25,-45.125
-18.6875,2.1875,-45.1875
-18.8125,2.0625,-45.0625
-18.9375,1.8125,-45.125
-18.875,1.875,-45.25
-18.8125,2.0,-45.25
-18.6875,1.9375,-45.3125
-18.8125,1.9375,-45.125
-18.6875,2.125,-45.0625
-19.0,2.1875,-45.125
-19.125,2.4375,-45.125
-19.0,2.5,-45.0625
-19.125,2.625,-44.8125
-19.0,2.6875,-44.6875
-18.9375,2.5625,-44.875
-18.75,2.6875,-45.0
-19.0625,2.4375,-45.125
-18.875,2.5,-45.0625
-18.8125,2.5,-45.0
-18.6875,2.625,-45.125
-18.9375,2.4375,-45.125
-19.0625,2.375,-45.1875
-19.25,2.5625,-45.1875
-19.5,2.5,-45.25
-19.5625,2.5625,-45.125
-19.4375,2.5,-45.1875
-19.5625,2.4375,-45.0625
-19.25,2.5625,-45.0625
-19.25,2.5625,-45.0
-19.125,2.3125,-45.125
-19.3125,2.25,-45.25
-19.3125,2.1875,-45.0625
-19.3125,2.0625,-44.875
-19.0625,1.8125,-44.8125
-19.0,1.8125,-44.8125
-19.125,1.625,-44.9375
-19.3125,1.5625,-44.75
-19.375,1.5,-44.8125
-19.125,1.5,-44.9375
-19.125,1.625,-44.9375
-19.25,1.6875,-45.0625
-19.4375,1.9375,-45.0625
-19.5625,1.6875,-45.125
-19.4375,1.8125,-45.125
-19.625,1.9375,-45.0
-19.5,2.0,-44.8125
-19.5,2.125,-44.8125
-19.375,2.1875,-44.8125
-19.0625,2.3125,-44.9375
-18.875,2.375,-45.0
-18.75,2.75,-45.0625
-18.5625,2.9375,-45.0625
-17.625,3.25,-45.1875
-15.875,3.625,-45.625
-14.9375,3.75,-45.75
-13.9375,3.9375,-46.0
-12.625,4.125,-46.25
-10.9375,4.0625,-46.8125
-8.9375,3.75,-47.125
-7.25,3.4375,-47.5
-5.1875,3.25,-47.75
-3.125,2.875,-48.0
-0.9375,2.4375,-48.25
1.5625,1.9375,-48.3125
3.875,1.4375,-48.1875
6.0625,0.8125,-47.75
8.375,0.5625,-47.4375
11.0625,0.125,-46.875
13.4375,-0.0625,-46.3125
15.9375,0.0625,-45.4375
18.4375,0.1875,-44.4375
20.875,0.1875,-43.375
23.375,0.3125,-42.1875
25.8125,0.75,-40.9375
28.1875,1.0625,-39.5
30.125,1.5625,-38.125
32.0625,1.75,-36.75
33.875,2.0625,-35.1875
35.8125,2.25,-33.4375
37.4375,2.6875,-31.8125
39.0625,3.1875,-30.1875
40.5625,3.5625,-28.4375
41.8125,4.0,-26.75
43.1875,4.4375,-24.875
44.4375,4.875,-22.875
45.5,5.125,-21.25
46.1875,5.5,-19.6875
47.0625,5.8125,-17.8125
47.6875,6.125,-16.0625
48.25,6.3125,-14.4375
48.75,6.4375,-12.9375
49.125,6.5,-11.6875
49.4375,6.625,-10.4375
49.625,6.6875,-9.5
49.8125,6.4375,-8.8125
49.625,6.125,-8.4375
49.5625,5.75,-8.1875
49.625,5.4375,-7.9375
49.375,4.75,-7.6875
49.25,4.0625,-7.375
49.125,3.4375,-7.25
49.0,2.8125,-6.8125
49.6875,2.0625,-5.875
50.0,1.75,-5.375
50.0,1.4375,-4.9375
50.3125,1.5,-4.5625
50.3125,1.5,-4.125
50.5625,1.125,-4.0625
50.8125,0.75,-4.0625
50.5,0.3125,-4.1875
50.5,0.0625,-4.25
50.4375,-0.1875,-4.375
50.5,-0.625,-4.75
50.375,-1.0,-5.4375
50.375,-1.3125,-6.0625
49.9375,-1.4375,-6.5625
49.6875,-1.4375,-7.1875
49.5625,-1.5625,-7.875
49.5625,-1.6875,-8.75
49.375,-1.875,-9.3125
49.25,-2.0,-9.6875
49.1875,-2.125,-10.0
49.1875,-2.375,-10.5
49.3125,-2.0625,-10.9375
49.25,-2.125,-11.1875
49.3125,-1.875,-11.625
49.0625,-1.8125,-11.625
49.0625,-1.75,-11.75
48.875,-1.375,-12.125
48.8125,-1.125,-12.5
48.75,-0.8125,-12.75
48.5,-0.625,-13.0
48.5,-0.125,-13.375
48.5,0.125,-13.625
48.3125,0.5625,-14.375
48.0625,1.25,-15.25
47.6875,1.875,-16.0625
47.3125,2.625,-17.0625
46.875,3.5,-18.25
46.3125,4.1875,-19.625
45.5625,4.8125,-21.0
44.875,5.625,-22.25
44.125,6.3125,-23.5
43.25,7.0,-24.9375
42.5,7.5625,-26.375
40.625,8.9375,-28.5
39.875,9.5625,-29.4375
38.0625,11.125,-31.3125
37.0,11.8125,-32.375
35.75,12.375,-33.25
33.625,12.625,-35.3125
32.5,12.5,-36.4375
