x,y,z
-17.9375,8.625,-44.8125
-18.0625,8.4375,-44.9375
-17.9375,8.4375,-45.0625
-17.9375,8.4375,-45.25
-17.75,8.75,-45.125
-17.5,8.8125,-45.25
-17.3125,8.9375,-45.25
-17.5,8.9375,-45.1875
-17.5,8.9375,-45.0
-17.375,8.8125,-44.8125
-17.4375,8.5,-44.5625
-17.4375,8.5625,-44.375
-17.5625,8.3125,-44.5625
-17.75,8.0,-44.25
-18.0625,7.875,-43.9375
-18.0625,7.9375,-43.9375
-18.25,7.6875,-43.8125
-18.3125,7.625,-43.9375
-18.1875,7.875,-44.0
-18.0,7.8125,-43.9375
-17.9375,7.9375,-43.625
-17.625,8.375,-43.6875
-17.0,8.9375,-43.875
-16.5,9.3125,-43.875
-15.75,9.875,-44.25
-14.5,10.625,-44.3125
-13.125,11.0,-44.5
-11.4375,11.3125,-44.75
-9.4375,11.75,-45.25
-7.0,11.875,-45.4375
-4.375,11.75,-45.6875
-1.6875,11.75,-45.75
1.1875,11.3125,-45.75
4.125,10.875,-45.6875
6.9375,10.625,-45.375
9.875,10.375,-44.9375
12.5625,10.25,-44.1875
15.125,10.5625,-43.6875
17.4375,10.5625,-42.625
20.0625,10.5625,-41.625
22.4375,11.125,-40.625
24.5,11.625,-39.5
26.5625,12.0625,-38.3125
28.375,12.5,-36.9375
30.3125,12.6875,-35.75
32.125,12.75,-34.1875
33.75,13.0625,-32.875
35.1875,13.4375,-31.375
36.75,13.625,-29.6875
38.1875,13.75,-28.1875
39.3125,13.625,-26.375
40.4375,13.6875,-24.875
41.375,13.625,-23.3125
42.3125,13.5625,-21.75
43.3125,13.4375,-20.1875
43.9375,13.1875,-18.9375
44.375,12.9375,-17.625
44.8125,12.6875,-16.25
45.3125,12.5625,-15.0625
45.875,12.3125,-13.8125
46.5625,12.3125,-12.5
46.875,12.125,-11.5
47.125,11.875,-10.5625
47.6875,11.6875,-9.4375
48.0625,11.3125,-8.625
48.5,11.125,-7.875
49.0625,10.625,-6.8125
49.3125,9.6875,-5.75
49.25,9.1875,-5.3125
49.0,8.4375,-5.25
48.75,7.9375,-5.6875
48.8125,7.25,-6.1875
48.75,6.875,-7.1875
48.5,6.25,-8.1875
48.125,5.75,-9.25
47.875,5.0625,-10.5625
47.9375,4.4375,-11.6875
47.6875,4.0625,-12.875
47.5625,3.75,-13.8125
47.4375,3.375,-14.5
47.0625,3.25,-15.1875
46.9375,3.25,-15.9375
46.875,3.25,-16.75
46.625,3.3125,-17.4375
46.0625,3.625,-18.5
45.5625,3.75,-19.5
44.875,4.0,-20.6875
44.125,4.125,-22.0625
43.25,4.0625,-23.5625
41.875,4.0,-25.1875
40.625,4.0625,-27.125
39.1875,4.375,-29.1875
37.375,4.75,-31.0625
35.625,5.125,-32.875
34.1875,5.5,-34.75
32.5,6.0,-36.5
31.3125,6.5,-37.8125
30.125,6.9375,-39.125
28.9375,7.375,-39.9375
27.875,7.375,-40.5625
27.3125,7.375,-41.125
26.8125,7.3125,-41.6875
25.9375,7.5625,-42.3125
25.0,7.9375,-42.875
