x,y,z
-21.4375,7.125,-46.25
-21.375,7.0,-46.375
-21.3125,6.8125,-46.0625
-21.0625,6.6875,-46.0625
-21.25,6.75,-46.125
-21.0625,6.9375,-46.0
-20.8125,7.125,-45.75
-20.6875,7.375,-45.875
-20.75,7.5625,-45.875
-20.5,7.875,-45.75
-20.3125,8.0625,-45.75
-19.8125,8.375,-45.6875
-19.5,8.375,-45.6875
-19.0625,8.5,-46.0625
-18.5625,9.0,-46.3125
-18.0625,9.125,-46.4375
-16.9375,9.5,-46.4375
-16.0625,9.75,-46.5625
-14.9375,10.1875,-46.625
-14.0,10.3125,-46.6875
-11.0,10.75,-46.9375
-9.1875,10.6875,-47.0625
-6.9375,10.75,-47.3125
-4.6875,10.875,-47.5625
-2.4375,10.9375,-47.8125
-0.0625,11.25,-48.0
2.4375,11.4375,-48.125
4.8125,11.75,-47.8125
9.5625,12.625,-47.0
11.5625,12.75,-46.5
13.75,12.8125,-45.8125
15.9375,13.0625,-44.9375
17.8125,13.0,-44.0625
19.8125,12.875,-43.125
21.4375,12.9375,-42.5
22.875,12.875,-41.8125
24.5625,12.625,-41.125
26.0625,12.8125,-40.3125
27.125,12.8125,-39.5
28.25,12.75,-38.6875
29.5625,12.6875,-37.6875
30.8125,12.75,-36.6875
31.9375,12.75,-35.5625
33.1875,12.8125,-34.5
34.125,13.0,-33.5625
35.0625,12.875,-32.5625
35.9375,12.625,-31.4375
37.125,12.4375,-30.625
37.9375,12.25,-29.8125
38.6875,12.0,-29.0
39.6875,11.5,-27.9375
40.375,11.1875,-27.0
40.9375,10.6875,-26.25
41.625,10.5,-25.1875
42.3125,10.3125,-24.375
42.8125,10.0625,-23.3125
43.3125,9.625,-22.4375
43.875,9.125,-21.4375
44.0625,8.875,-20.875
44.625,8.5,-19.875
44.9375,8.0,-18.8125
45.4375,7.4375,-18.0625
45.8125,6.875,-17.1875
46.125,6.5,-16.0
46.4375,6.1875,-15.125
46.75,6.0,-14.3125
47.0625,5.75,-13.375
47.125,5.0,-12.625
47.5,4.75,-11.8125
47.625,4.375,-11.0
48.3125,3.625,-10.1875
48.25,3.1875,-9.875
48.1875,2.375,-9.5625
48.25,1.8125,-9.0625
48.1875,1.5625,-9.0
48.25,1.0,-9.0
48.125,0.4375,-9.0625
47.9375,-0.3125,-8.875
47.875,-1.0625,-8.75
47.9375,-1.5,-8.625
47.9375,-1.875,-8.75
48.0,-2.4375,-9.0
48.0625,-2.875,-9.0
48.1875,-3.1875,-8.8125
48.125,-3.25,-8.875
48.0625,-2.9375,-8.9375
48.0,-2.6875,-9.0625
48.0625,-2.8125,-9.3125
48.1875,-2.625,-9.375
48.25,-2.0,-9.5
48.3125,-1.5625,-9.75
48.1875,-0.9375,-10.4375
48.0625,-0.1875,-11.125
47.75,0.4375,-12.0625
47.3125,1.375,-13.4375
46.5625,2.75,-15.0625
45.8125,4.125,-17.4375
44.9375,5.375,-19.5
43.875,6.75,-21.1875
43.125,8.0,-23.0625
42.1875,9.0,-24.75
41.5,10.1875,-26.125
40.75,11.25,-27.1875
40.25,12.25,-28.0625
39.5625,13.3125,-28.1875
38.6875,14.5625,-28.875
37.125,16.875,-30.5625
36.3125,18.0,-31.4375
35.125,18.8125,-32.625
33.6875,19.5,-33.75
31.875,20.0625,-35.3125
29.8125,20.3125,-37.0625
27.75,20.1875,-38.5
25.25,20.0,-40.1875
