@relation pickup

@attribute accelerometerX_mean real
@attribute accelerometerX_std real
@attribute accelerometerX_max real
@attribute accelerometerX_min real
@attribute accelerometerX_getPercentile25 real
@attribute accelerometerX_getPercentile50 real
@attribute accelerometerX_getPercentile75 real
@attribute accelerometerX_fft_0_real real
@attribute accelerometerX_fft_0_imaginary real
@attribute accelerometerX_fft_1_real real
@attribute accelerometerX_fft_1_imaginary real
@attribute accelerometerX_fft_2_real real
@attribute accelerometerX_fft_2_imaginary real
@attribute accelerometerY_mean real
@attribute accelerometerY_std real
@attribute accelerometerY_max real
@attribute accelerometerY_min real
@attribute accelerometerY_getPercentile25 real
@attribute accelerometerY_getPercentile50 real
@attribute accelerometerY_getPercentile75 real
@attribute accelerometerY_fft_0_real real
@attribute accelerometerY_fft_0_imaginary real
@attribute accelerometerY_fft_1_real real
@attribute accelerometerY_fft_1_imaginary real
@attribute accelerometerY_fft_2_real real
@attribute accelerometerY_fft_2_imaginary real
@attribute accelerometerZ_mean real
@attribute accelerometerZ_std real
@attribute accelerometerZ_max real
@attribute accelerometerZ_min real
@attribute accelerometerZ_getPercentile25 real
@attribute accelerometerZ_getPercentile50 real
@attribute accelerometerZ_getPercentile75 real
@attribute accelerometerZ_fft_0_real real
@attribute accelerometerZ_fft_0_imaginary real
@attribute accelerometerZ_fft_1_real real
@attribute accelerometerZ_fft_1_imaginary real
@attribute accelerometerZ_fft_2_real real
@attribute accelerometerZ_fft_2_imaginary real
@attribute accelerometerV_mean real
@attribute accelerometerV_std real
@attribute accelerometerV_max real
@attribute accelerometerV_min real
@attribute accelerometerV_getPercentile25 real
@attribute accelerometerV_getPercentile50 real
@attribute accelerometerV_getPercentile75 real
@attribute accelerometerV_fft_0_real real
@attribute accelerometerV_fft_0_imaginary real
@attribute accelerometerV_fft_1_real real
@attribute accelerometerV_fft_1_imaginary real
@attribute accelerometerV_fft_2_real real
@attribute accelerometerV_fft_2_imaginary real
@attribute magneticX_mean real
@attribute magneticX_std real
@attribute magneticX_max real
@attribute magneticX_min real
@attribute magneticX_getPercentile25 real
@attribute magneticX_getPercentile50 real
@attribute magneticX_getPercentile75 real
@attribute magneticX_fft_0_real real
@attribute magneticX_fft_0_imaginary real
@attribute magneticX_fft_1_real real
@attribute magneticX_fft_1_imaginary real
@attribute magneticX_fft_2_real real
@attribute magneticX_fft_2_imaginary real
@attribute magneticY_mean real
@attribute magneticY_std real
@attribute magneticY_max real
@attribute magneticY_min real
@attribute magneticY_getPercentile25 real
@attribute magneticY_getPercentile50 real
@attribute magneticY_getPercentile75 real
@attribute magneticY_fft_0_real real
@attribute magneticY_fft_0_imaginary real
@attribute magneticY_fft_1_real real
@attribute magneticY_fft_1_imaginary real
@attribute magneticY_fft_2_real real
@attribute magneticY_fft_2_imaginary real
@attribute magneticZ_mean real
@attribute magneticZ_std real
@attribute magneticZ_max real
@attribute magneticZ_min real
@attribute magneticZ_getPercentile25 real
@attribute magneticZ_getPercentile50 real
@attribute magneticZ_getPercentile75 real
@attribute magneticZ_fft_0_real real
@attribute magneticZ_fft_0_imaginary real
@attribute magneticZ_fft_1_real real
@attribute magneticZ_fft_1_imaginary real
@attribute magneticZ_fft_2_real real
@attribute magneticZ_fft_2_imaginary real
@attribute magneticV_mean real
@attribute magneticV_std real
@attribute magneticV_max real
@attribute magneticV_min real
@attribute magneticV_getPercentile25 real
@attribute magneticV_getPercentile50 real
@attribute magneticV_getPercentile75 real
@attribute magneticV_fft_0_real real
@attribute magneticV_fft_0_imaginary real
@attribute magneticV_fft_1_real real
@attribute magneticV_fft_1_imaginary real
@attribute magneticV_fft_2_real real
@attribute magneticV_fft_2_imaginary real
@attribute rotationX_mean real
@attribute rotationX_std real
@attribute rotationX_max real
@attribute rotationX_min real
@attribute rotationX_getPercentile25 real
@attribute rotationX_getPercentile50 real
@attribute rotationX_getPercentile75 real
@attribute rotationX_fft_0_real real
@attribute rotationX_fft_0_imaginary real
@attribute rotationX_fft_1_real real
@attribute rotationX_fft_1_imaginary real
@attribute rotationX_fft_2_real real
@attribute rotationX_fft_2_imaginary real
@attribute rotationY_mean real
@attribute rotationY_std real
@attribute rotationY_max real
@attribute rotationY_min real
@attribute rotationY_getPercentile25 real
@attribute rotationY_getPercentile50 real
@attribute rotationY_getPercentile75 real
@attribute rotationY_fft_0_real real
@attribute rotationY_fft_0_imaginary real
@attribute rotationY_fft_1_real real
@attribute rotationY_fft_1_imaginary real
@attribute rotationY_fft_2_real real
@attribute rotationY_fft_2_imaginary real
@attribute rotationZ_mean real
@attribute rotationZ_std real
@attribute rotationZ_max real
@attribute rotationZ_min real
@attribute rotationZ_getPercentile25 real
@attribute rotationZ_getPercentile50 real
@attribute rotationZ_getPercentile75 real
@attribute rotationZ_fft_0_real real
@attribute rotationZ_fft_0_imaginary real
@attribute rotationZ_fft_1_real real
@attribute rotationZ_fft_1_imaginary real
@attribute rotationZ_fft_2_real real
@attribute rotationZ_fft_2_imaginary real
@attribute rotationV_mean real
@attribute rotationV_std real
@attribute rotationV_max real
@attribute rotationV_min real
@attribute rotationV_getPercentile25 real
@attribute rotationV_getPercentile50 real
@attribute rotationV_getPercentile75 real
@attribute rotationV_fft_0_real real
@attribute rotationV_fft_0_imaginary real
@attribute rotationV_fft_1_real real
@attribute rotationV_fft_1_imaginary real
@attribute rotationV_fft_2_real real
@attribute rotationV_fft_2_imaginary real
@attribute label {0,1}

@data 
-0.8428219568224301,5.4888983972718375,24.359718,-9.100571,-5.1779113,-0.8629852,1.5298374,-90.18194938,0.0,-112.25083350673458,5.133422282378772,46.24973781970192,81.78328180919114,4.015044049813084,3.6582670217845954,9.885103,-3.6088471,0.9414384,4.628739,7.1784678,429.60971333,0.0,-256.26407058173675,128.30492325764013,-26.707089579272225,-20.620076931147892,8.563863157009347,5.168512526880313,24.438171,0.8237586,4.785645,7.2176943,10.473502,916.3333577999999,0.0,70.27718536761802,-252.00119467334858,-49.964388323787404,-260.26453791208,11.665733435115836,4.885958784989589,25.65569496020722,4.218637913591576,8.842357749544878,10.335073564664931,14.092397583403356,1248.2334775573945,0.0,-69.58747254619878,-233.2115750640962,-78.1394422031377,-258.94546136081124,-8.09615384615385,9.501085476585459,10.25,-21.25,-17.15625,-9.75,0.828125,-842.0,0.0,-135.34844787901667,-142.86225251846142,-5.141904571644972,758.5751014189084,-21.962139423076923,6.666034408494067,-11.5,-34.625,-24.96875,-22.96875,-17.9375,-2284.0625,0.0,708.0494448029098,-66.60378649258891,276.9241082654277,354.1827816438205,-43.25,3.0832772998494624,-35.25,-47.0625,-44.859375,-44.25,-43.15625,-4498.0,0.0,758.274687329126,739.8501613455909,229.80233965909207,692.0961351773332,50.59817440473006,1.0524954038414918,52.81268491091889,48.9913895495933,49.83409976651721,50.28368350006194,51.440959788939935,5262.210138091927,0.0,-979.3907772105744,-600.2113583148105,-336.81738058344365,-912.531599449052,115.015627,43.32356999993271,180.92188,72.75,76.6953125,112.0625,154.812505,575.078135,0.0,110.2220554363974,-313.6557509896402,56.109370000000034,-100.28125499999999,-31.809375,25.78735107733901,-3.890625,-57.8125,-56.6328125,-35.25,-5.265625,-159.046875,0.0,86.94102346679335,78.88069810790118,-26.84374999999999,-53.921875,-1.3343749999999994,34.79525001818675,56.59375,-33.8125,-27.7109375,-5.90625,27.328125,-6.671875,0.0,25.68471878632511,-4.835305009227241,6.296875000000013,-58.53125,126.49880124239,39.40760596850553,189.60674082080394,91.66512620036109,95.45349986806771,114.32001965767523,163.63349340906967,632.4940062119499,0.0,86.55250389558097,-341.9070599452098,68.32489986070092,-90.3648672850296,1
-6.22761485728,2.561563858325973,0.4314926,-13.6116295,-7.60996,-6.354709,-5.2563643,-778.45185716,0.0,9.082874423194042,-12.026619675071277,121.70970537430826,10.932445982559653,2.7527657862400003,4.3099019253993776,7.923773,-10.002783,0.37265268,4.0403395,6.099736249999999,344.09572328,0.0,-169.2742647753994,284.645239277293,43.75236932956691,84.13491709456936,4.661061377999999,5.2024606780205245,18.201141,-1.2944778,0.64723888,3.0204482,7.0019478,582.63267225,0.0,259.3319444088311,-273.5440420922276,-44.24319665209589,-179.9851769440317,10.268272232628343,3.8144761186023413,23.928128897999716,2.715999475589537,8.220493511007643,9.491296827503673,10.886565012762716,1283.5340290785427,0.0,132.636771537352,-94.522693323566,-109.60864441645828,-194.69003576267963,23.85781249999999,19.64850991464261,45.6875,-17.875,22.140625,30.0625,37.421875,2862.9375,0.0,-1411.0356044554176,284.2530741412906,-494.098154805794,861.4701548977587,-16.870833333333344,11.379038591098242,2.9375,-31.8125,-27.5625,-18.84375,-7.390625,-2024.5,0.0,493.39341265966226,-881.163899380764,5.10834701904634,58.27047676295767,-31.62239583333334,9.729479711770166,-18.125,-47.5625,-43.46875,-27.46875,-24.015625,-3794.6875,0.0,-424.77499882526035,367.63165008307027,273.55122216060016,433.3737111332759,49.58242122383933,0.7127775579800386,50.5042541524969,47.09519116905674,49.422573591900374,49.73686381156253,50.0263985550413,5949.890546860719,0.0,-414.98859596574084,-65.01471867983693,-337.3474805369208,-139.61646499330018,66.65178571428571,39.998142162956704,122.953125,34.015625,34.234375,42.640625,122.6875,466.5625,0.0,121.46617284664694,-55.97778105424425,46.50000000000003,-131.1875,-18.165178571428573,26.721327935367736,29.484375,-45.40625,-41.234375,-18.59375,0.140625,-127.15625,0.0,122.2679607587404,-28.1184546053319,-12.906249999999995,-26.03125,-39.558035714285715,20.248387832650494,0.390625,-64.84375,-52.171875,-42.703125,-33.21875,-276.90625,0.0,85.65273939266532,9.504433806768494,65.65625,22.28125,89.60084249825083,27.404373038844955,130.7298155279382,62.189074257712264,71.11453336322154,72.8449733112639,122.68820244640986,627.2058974877558,0.0,41.58484073541447,-59.590475274536814,35.985541709022016,-129.89602095498722,1
-4.657525943306451,3.259627090005931,6.746975,-15.612186,-6.80581475,-5.354430750000001,-3.36368095,-577.53321697,0.0,98.19190227420746,-100.1653929778028,57.91061331421817,-182.61433874340065,1.373563641693548,3.3890081423306087,7.2176943,-8.316039,0.04903325,1.8828768,3.8834333,170.32189157,0.0,-19.175064554044567,252.11966025151457,26.259769491210335,-66.69196901730193,7.5587125572580645,4.144317189038913,15.494507,1.6867437,3.657880325,7.17846765,10.228335375,937.2803571,0.0,56.01244979622532,-298.617274490905,-138.3960067217724,10.14080168437237,10.466761823928271,3.195574737204682,18.799569714460013,5.342311317740319,8.442227104087634,10.007742578720332,11.732490305087946,1297.8784661671057,0.0,12.80599414211283,-177.30657370822328,-181.5962207944434,82.63616930625008,10.707812499999982,19.4380719175028,33.6875,-16.875,-14.609375,20.125,26.484375,1284.9375,0.0,-1065.471836028606,1213.0060198998515,232.66548388394386,345.54400635355375,-14.565624999999995,6.435609731042906,-4.0,-25.875,-20.78125,-12.6875,-8.6875,-1747.875,0.0,-8.345066058948081,-454.34974309688084,314.61992606377544,171.19100481386857,-40.975,4.91001217287851,-33.3125,-48.25,-45.296875,-41.125,-36.109375,-4917.0,0.0,165.4814363274931,435.6574309712989,319.5043219134396,8.823829205984183,49.44896368252269,0.4863119498567869,50.42712098910665,48.05965531243436,49.164472407741684,49.443010309690436,49.835089249152844,5933.875641902723,0.0,-371.0364486178266,-60.29777554003672,-338.1152151194791,-171.21160859845048,95.9921875,31.093385283665036,126.984375,62.921875,65.921875,96.4140625,126.46875,575.953125,0.0,48.616636248456366,-205.49283449289334,63.60937500000003,-125.90625,-15.6171875,19.044591357152758,6.421875,-37.296875,-34.7421875,-14.2734375,1.3125,-93.703125,0.0,76.85448452150018,2.969386937633839,-40.703125,-8.75,-30.265625,18.488380535994764,-0.390625,-45.828125,-44.3984375,-38.2734375,-11.27734375,-181.59375,0.0,94.89592852712904,42.462668528123515,-9.484375000000004,19.015625,106.66688932787237,21.615053648898613,131.1683628177804,83.88604126981959,86.39820357916659,105.3628821212061,128.0312731706499,640.0013359672341,0.0,1.9801187881478057,-213.41870219005745,79.70325507364564,-123.4901732267966,1
-4.727795771010101,2.631277025845383,0.35303938,-9.885103,-6.825428,-4.589512,-2.9027684,-468.05178133,0.0,54.352904707530676,-14.644143237504178,13.47169705515077,222.93925953193647,2.52635147020202,4.157464039521615,8.276813,-6.7862015,0.0,3.3734875,6.158576,250.10879555000002,0.0,-300.35728754646794,35.38782253526795,45.23582359997633,72.4481000369203,7.188769604040403,4.297787912259169,16.239813,1.7259704,3.80498,5.217138,11.101128,711.6881908,0.0,102.29780919590996,-186.92549630745899,46.632613851039984,-290.1019977823266,10.43321414593185,3.734952241109392,18.472938743504354,4.580618844105833,8.196012760329587,9.72131372909509,12.653725152610807,1032.888200447253,0.0,-39.41028085567444,-159.3723263761555,72.90009113619519,-374.2474198654707,10.505859375,11.91468810372155,24.375,-17.625,8.125,13.0,19.8125,1008.5625,0.0,-741.4176011674621,-164.82007252409295,-479.2417143412321,119.35009081617697,-17.11588541666666,10.726439064165646,-1.75,-31.25,-29.390625,-15.5625,-6.96875,-1643.125,0.0,971.9195088542133,187.42668266211754,-367.82713381574877,24.65663424031573,-42.31901041666667,4.15711659116291,-36.375,-48.9375,-45.953125,-42.75,-38.515625,-4062.625,0.0,601.7831490658116,916.226795524831,40.23657078631197,1051.5436857195182,49.65259284653387,0.537519139615115,51.00628025057306,48.75524811494656,49.17520776710219,49.60742337805078,49.96546622870226,4766.648913267251,0.0,-1011.3684766377663,-1015.3590363355374,62.21610473366012,-1006.4562909119468,63.553125,34.15551841908658,124.421875,43.21875,46.453125,50.078125,87.390625,317.765625,0.0,69.21218942279853,-115.65835297601369,125.09375,6.859375,-26.19375,25.77492725498949,15.109375,-45.640625,-45.234375,-38.3125,-1.09375,-130.96875,0.0,37.58801688088266,104.19194898930186,42.640625,-7.328125,-28.2625,11.42110761786045,-11.3125,-43.3125,-36.921875,-29.25,-19.109375,-141.3125,0.0,29.995958450928956,58.8379993752746,-40.96874999999999,-19.21875,80.60680453435248,27.284029566191897,128.19142904449092,58.85304294649938,63.74568955540988,73.03403964772608,101.25430195660829,403.03402267176244,0.0,48.61830033280098,-167.1996037169613,123.79572556108522,15.464131922226294,1
-5.09117397658385,3.4761645135618475,1.6475172,-10.355823,-7.70802665,-5.8447633,-0.4511059,-819.67901023,0.0,447.03950876919345,321.9329156523674,22.1787755316849,-40.54181026689,1.7103771829192544,3.4681207594734027,7.7668667,-6.237029,0.0784532,1.1375713,4.981778,275.37072645,0.0,-328.4205497903456,58.766761900257606,315.8586759886276,52.54983225747733,6.454846470559008,4.028208089042647,13.219364,-0.0,2.9027684000000002,5.88399,10.1989155,1039.2302817599998,0.0,236.6740115292054,-597.7784630707648,-76.36637021049526,-379.055372179998,10.281942183533184,2.215884278862312,16.895466030843362,5.915157975013587,8.601991321006649,10.160673403699152,11.08821826340138,1655.3926915488428,0.0,-196.07534995806645,-760.7695475884606,72.93648892171095,-323.52525198710936,12.70161290322578,23.3103385331006,42.5625,-17.5,-16.1875,25.75,32.6875,1968.75,0.0,-2750.882037139479,-629.5471133208611,416.6026408894726,1708.9156324448056,-15.520161290322587,8.959855723403482,-1.25,-31.625,-24.0,-12.1875,-10.375,-2405.625,0.0,1030.5616271792098,683.3159159546839,-1091.6010600370491,112.48563362412156,-36.72862903225807,9.141925346538557,-22.125,-47.8125,-45.125,-39.6875,-27.6875,-5692.9375,0.0,19.7575882127651,2872.9975849444077,-362.8171771422845,1233.870367670983,49.53194545522985,0.6714201191759951,50.503480696878704,47.8921721813701,49.08622038057116,49.680620592943484,50.07439777471118,7677.451545560627,0.0,-1231.600293702347,-3607.607323439321,1028.2300162387016,-703.0442298519565,121.3046875,33.348478585919565,192.03125,81.578125,94.34765625,123.484375,123.875,970.4375,0.0,-92.3271317781339,-72.15351501433808,104.43750000000001,-32.625,-12.02734375,21.81318074498008,14.828125,-41.9375,-35.73046875,-6.9453125,8.01171875,-96.21875,0.0,12.591854369631886,-110.20742969686452,13.703124999999995,23.328125,-33.54296875,22.37150771766141,-0.390625,-54.09375,-51.8046875,-44.71875,-6.99609375,-268.34375,0.0,80.81625064112168,-61.496726141128605,10.25000000000001,-47.28125,130.4372094469031,30.2015526132654,199.92884049022447,100.91935063223133,110.84555988147301,124.85881459444252,131.9204368686675,1043.4976755752248,0.0,-103.58241026271627,-36.87494342338472,90.66323962023648,-20.52456468514248,1
-6.282043349016393,1.912620108304877,-0.3138128,-9.57129,-7.4138274,-6.550842,-5.295591,-766.40928858,0.0,62.820659639585145,80.61957351284035,50.578251258524276,18.317255349578456,3.2464833533606554,4.166870306250296,9.728196,-7.6884136,0.7747253025,4.6875786999999995,6.266449,396.07096911,0.0,-162.8107823000209,279.8727170238069,-37.833355665114155,130.19485713337195,3.8335962133606563,5.30778431092763,16.082905,-1.6475172,-0.51975245,1.4906107,7.374600475,467.69873802999996,0.0,321.9733047075872,-232.331098272385,-3.636035523515636,-178.9546075355765,10.247050083564178,2.925503763633238,19.01494955361323,6.184505708011777,8.160045656167934,9.502306376917094,11.71297215507169,1250.1401101948297,0.0,99.29400769360579,-89.17489777911665,-45.08267597168605,-155.14590292698824,22.289130434782617,19.665006401197868,47.5,-17.75,18.8125,21.5,39.3125,2563.25,0.0,-1557.6797357525797,-193.49835619114555,-360.7720924662063,714.6387601435852,-22.32608695652173,14.470562844941096,-4.4375,-43.25,-37.0,-19.375,-7.75,-2567.5,0.0,627.9205101696385,-1072.5432940992546,307.4489313826,241.73459625164773,-27.20163043478261,13.977028412734281,-7.6875,-48.5,-44.5,-20.875,-15.375,-3128.1875,0.0,-648.8827385751856,498.9438590526757,472.82319380290863,615.4188802174654,50.190462703852894,0.8344872738376735,51.67586023715522,48.640060328395975,49.5711688509561,50.117479173936914,50.959926044883545,5771.903210943083,0.0,-610.2270679368895,-164.55232071822874,-492.28079967676086,-357.0039893009599,84.22395833333333,30.737341250267832,126.09375,55.28125,55.29296875,75.78125,119.35546875,505.34375,0.0,54.04537395040402,-140.1779924453417,102.64062500000003,-152.609375,-54.940105,66.6242062386855,10.40625,-147.21875,-133.613285,-30.1796875,0.05859375,-329.64063,0.0,261.15369631450403,99.13881157111005,-106.06250499999996,-123.671875,-42.614583333333336,20.700717234202703,-5.296875,-61.546875,-58.23046875,-46.890625,-29.77734375,-255.6875,0.0,86.02523554706828,90.07421420349478,17.187499999999993,35.53125,127.20743565397137,26.603050279869393,167.31001935964565,96.70858438095736,102.25529825997096,124.68294584345293,151.14444154741932,763.2446139238283,0.0,-126.99647171988856,-234.80200035482338,166.32545764462517,-68.88194879799707,1
-4.3550939044,2.8465319910840714,8.433719,-9.492837,-6.590069,-4.275699,-3.1773544,-544.3867380500001,0.0,-81.66074842328709,-10.892380413519788,103.05585558535397,-15.525779421092174,3.3907472530399994,3.8632030128509105,9.57129,-4.8248715,0.0392266,4.511059,6.53122865,423.84340663,0.0,-186.94644600067983,263.4163623533429,-14.585971276730017,61.902736498228705,7.1530487568000005,3.874646419723667,15.808319,2.745862,4.2364726,5.4524975,10.355822,894.1310946,0.0,143.6879542048797,-254.36582184267002,-62.51340559859104,-137.3768505148384,10.538740566016585,2.8926893893368417,17.04931640782754,6.376826510792924,8.415258243017929,9.928359939809386,11.83849098620005,1317.3425707520732,0.0,124.94811812505299,-102.21696791781895,-106.81524755519882,-124.71001891377625,9.540064102564115,13.650611757091262,25.6875,-16.875,2.65625,13.0,20.65625,1116.1875,0.0,-816.7334786800302,296.34509639023304,-204.07393731078676,721.6660953471255,-22.08814102564102,10.464878510350983,-8.875,-36.0625,-33.84375,-21.1875,-11.71875,-2584.3125,0.0,722.8877864073827,-637.8113796947251,139.37232134985382,216.0384519726404,-42.058226495726494,4.9142685578866505,-36.5,-49.8125,-47.25,-40.75,-37.09375,-4920.8125,0.0,192.26665833267785,457.3841808715271,443.25160184376784,281.10732916268086,51.62117757891279,0.5637428729809324,52.75932974365766,50.456741992522666,51.20411436613155,51.5194896374178,52.07232795531,6039.677776732798,0.0,-563.6505528645771,-132.78671921990613,-446.49153029142116,-303.6916503172926,126.85677166666666,45.63055957334477,213.04688,86.703125,90.04296875,120.7421875,149.82422,761.14063,0.0,-38.233741347689886,-330.2056348078461,-4.04687999999997,-81.59375,-28.1640625,25.968078266733322,5.0625,-53.203125,-50.6953125,-36.3046875,2.484375,-168.984375,0.0,114.21544906138557,59.53073027506048,-3.1718749999999947,-23.84375,-28.369791666666668,17.71163510885335,-1.84375,-57.484375,-37.05859375,-27.765625,-19.29296875,-170.21875,0.0,44.26351737783695,0.46268206799502565,-53.515625000000014,59.640625,137.22855716595882,41.24340926663629,217.74884837435854,107.6377694134214,109.25622140179973,123.78316225821652,159.90423356380018,823.3713429957529,0.0,-74.96495139270189,-330.85468986661346,12.642292398224548,-93.98596326158317,1
-3.691429412932331,2.9742974425369133,3.0989013,-9.257478,-6.158576,-3.1773546,-1.0395048999999998,-490.96011192000003,0.0,104.2561859792384,315.4341485704264,47.09530594381452,39.73845908062209,1.8138615249624057,4.0663526458822705,8.119906,-8.512172,-0.31381279,1.2552512,5.4524975,241.24358282000003,0.0,-296.38849990207063,-113.58988211033893,97.97159127749134,334.06236308457056,7.875403313533835,3.253239146939022,14.160802,2.4712758,4.56989865,7.5707335,10.453889,1047.4286407,0.0,228.09390851145673,-648.022245553357,25.98299371810825,-279.727109989327,10.393498107124492,2.58046588001272,17.048098208980882,6.083285462068434,8.758295193242837,10.095268003625119,11.876154571404168,1382.3352482475575,0.0,74.15876071473204,-853.3400563570693,35.21469859550386,-179.8645629025315,4.195374015748033,15.517141603386802,27.75,-16.6875,-13.875,4.625,18.625,532.8125,0.0,-768.0051486118069,777.4597252264399,611.6038394535261,257.92011543525683,-16.365157480314974,11.656791699817733,0.6875,-36.3125,-27.5625,-11.1875,-7.8125,-2078.375,0.0,-180.91488138157703,-939.4414862994109,391.9013090072626,105.65838131012221,-43.063484251968504,4.617533281622656,-35.8125,-50.125,-46.875,-44.1875,-38.5,-5469.0625,0.0,20.184098158916164,391.8011510979682,-36.08795152970083,-69.692736671709,50.344367875918984,0.42380743620087424,51.59733671663684,49.449903627307506,49.99191340857039,50.31731343434385,50.604239570415444,6393.73472024171,0.0,-52.176746995780995,21.311495563331814,-42.77617083259245,-4.979675131305573,79.09895833333333,41.86107355487514,118.28125,34.125,34.4296875,84.7421875,118.19921875,474.59375,0.0,98.48917069939918,-186.18670851538104,29.625000000000032,-140.375,-18.53125,30.383356296560624,22.484375,-56.453125,-44.20703125,-19.90625,7.66015625,-111.1875,0.0,123.80835409769337,-16.297409907472918,-62.14062499999999,-25.765625,-22.7734375,11.283724408343085,-12.3125,-38.34375,-33.5859375,-20.359375,-13.02734375,-136.640625,0.0,12.108093193259228,43.7575362934595,11.70312499999999,47.03125,92.97728792743685,31.169010907964836,124.26675664328181,54.09370486711,64.15955373733658,94.26156147942783,123.6656689617916,557.8637275646211,0.0,42.97640512775685,-197.17960243991885,57.326527138070006,-143.8162774057675,1
-2.8938124862557077,2.4295034052305873,4.3149257,-10.9442215,-4.6679654,-2.5889556,-1.2552512,-633.74493449,0.0,323.4218629036562,93.67293845845656,60.06160471241708,-99.37331106343163,2.341415985844748,2.5054405118596974,6.6292953,-5.0210047,0.19613299,2.8635418,4.3541527,512.7701009,0.0,-240.63819889987914,259.0737682726418,-41.08227770233919,-24.1846720264336,8.894407433789954,2.8968969936394964,15.494507,0.8629852,7.5707335,9.257478,10.277369,1947.8752279999999,0.0,-77.54571438380052,-269.3597969691226,-357.37539574383067,-328.328065316398,10.348793956895161,2.525121443535471,17.796732574556845,3.758186569152955,9.611797615494382,10.200424103883694,10.945415699351589,2266.3858765600403,0.0,-249.9803777436107,-265.266286868051,-371.69078826835107,-289.3766093878272,-1.9848300970873762,14.719855943431732,29.125,-17.625,-16.578125,-7.8125,8.1875,-408.875,0.0,-1405.105991269142,-369.31621767869206,472.96385818031564,1724.7997752867723,-13.524878640776693,5.058550776735355,-5.5,-22.4375,-17.921875,-13.34375,-8.75,-2786.125,0.0,818.8017570356144,-153.47316766039296,379.1586161585787,601.5271181867436,-45.539441747572816,2.2585877827084464,-37.5,-48.3125,-47.0,-45.9375,-45.0625,-9381.125,0.0,1678.732413144237,1179.7562115735209,561.3707892949421,1759.7482774162847,50.065418603477475,0.5670843683339826,51.39043259693384,48.83214233473686,49.67489983693547,50.07431966358028,50.480745460234864,10313.47623231636,0.0,-1934.5909051437995,-1311.398952169571,-607.1969829001433,-1808.597672432212,93.63636409090908,28.849037142284903,138.70313,63.046875,70.953125,78.9375,114.46875,1030.0000049999999,0.0,36.005945766137685,-425.7070168280021,118.09062836503908,-262.0960828272673,-13.491477272727273,16.655286035128064,17.125,-35.859375,-27.703125,-21.0625,-0.84375,-148.40625,0.0,124.3635849735972,14.696745302786663,-55.1608145593343,-16.51442210941366,-14.649147727272727,16.907879374515947,16.09375,-45.65625,-24.953125,-13.671875,-3.296875,-161.140625,0.0,85.66211021792996,90.88410094568404,42.34121907465992,-53.96320343559643,99.07500729283554,26.056167982657865,141.85961938243076,73.28841582768214,78.04226087461764,82.70989073496969,114.52412580161877,1089.825080221191,0.0,2.4474323289885973,-451.5309871816345,119.17930790981319,-252.40388314568122,1
-2.4572457851094893,2.7968517298594717,8.708305,-11.101128,-4.02072625,-2.1182363,-0.3138128,-336.64267256000005,0.0,147.04842739205685,143.8885548469418,-102.94085648052504,16.097515774888947,2.455814155620438,3.7509554372374114,8.512172,-5.8055367,-0.1176798,2.1574628,5.94282965,336.44653932,0.0,-320.05701465600754,-168.77355479812636,99.70663659922948,314.26720212221437,8.213534418248175,3.9902489859210806,16.749758,1.176798,4.6091255,8.512172,10.5715685,1125.2542153,0.0,244.30228260317986,-733.1119098331957,-59.68099384242681,-297.5671836791547,10.48804347670743,2.6687594116106252,17.231285630607793,6.133790941010232,8.913459914887804,10.08199913455519,11.225496320754381,1436.8619563089178,0.0,32.06734294975895,-863.7364477765432,59.24198872416876,-187.16052098937155,-3.255288461538457,11.604262872973,27.1875,-17.1875,-16.140625,-0.96875,5.0625,-423.1875,0.0,-964.7035254544527,283.7233439738505,-53.0114743032796,775.6047486816238,-17.111057692307703,11.021627636703645,-2.5625,-33.625,-29.078125,-10.40625,-8.78125,-2224.4375,0.0,867.9535020730044,1322.8253805856289,-262.99246205795765,-920.281427613246,-44.099038461538456,3.9865537124670993,-38.25,-49.875,-47.34375,-45.6875,-39.671875,-5732.875,0.0,-232.55756803441056,3660.3934736575416,91.50193589024018,277.41534250970994,50.1771575425018,0.548496352931344,51.6392988672387,48.98939617407016,49.80402020798607,50.060100580868706,50.559747312031405,6523.030480525234,0.0,-84.0842881784567,-4091.8201946711833,92.23875267462581,30.60817435726519,78.69196428571429,36.24514797166781,116.78125,31.828125,46.46875,74.171875,116.375,550.84375,0.0,96.74192086759447,-124.88607097704971,-37.54687499999998,-109.609375,-21.225446428571427,25.300337640601214,3.359375,-54.984375,-50.609375,-13.265625,2.40625,-148.578125,0.0,115.24164910791505,-32.545951120153354,-41.31250000000001,17.703125,-19.720982142857146,23.65720706963452,0.609375,-69.40625,-25.046875,-15.75,-1.484375,-138.046875,0.0,17.71783966002488,-58.46236640337732,75.56249999999999,40.328125,92.9281405943051,25.345762915177087,117.60109202598046,60.65016190144817,63.65820980660114,102.44350338952076,116.78442972992482,650.4969841601358,0.0,40.37972282557404,-84.96466914762284,-38.14532563330664,-130.1660556508808,1
